id,name,rname
f-1_6, Release | 1.6 for MC 1.20.2,VoicesOfWynn-MC1.20.2-v1.6.jar
f-1_5_1,   Patch | 1.5.1 for MC 1.19.4,VoicesOfWynn-MC1.19.4-v1.5.1.jar
f-1_5,    Beta | 1.5 for MC 1.19.4,VoicesOfWynn-MC1.19.4-v1.5.jar
1_5,    Beta | 1.5 for MC 1.12.2,VoicesOfWynn-MC1.12.2-v1.5.jar
f-1_4,    Beta | 1.4 for MC 1.19.4,VoicesOfWynn-MC1.19.4-v1.4.jar
1_4,    Beta | 1.4 for MC 1.12.2,VoicesOfWynn-MC1.12.2-v1.4.jar
f-1_3_1,   Patch | 1.3.1 for MC 1.19.3,VoicesOfWynn-MC1.19.3-v1.3.1.jar
1_3_1,   Patch | 1.3.1 for MC 1.12.2,VoicesOfWynn-MC1.12.2-v1.3.1.jar
f-1_3,    Beta | 1.3 for MC 1.19.3,VoicesOfWynn-MC1.19.3-v1.3.jar
1_3,    Beta | 1.3 for MC 1.12.2,VoicesOfWynn-MC1.12.2-v1.3.jar
f-1_2_1,   Patch | 1.2.1 for MC 1.19.3,VoicesOfWynn-MC1.19.3-v1.2.1.jar
f-1_2,    Beta | 1.2 for MC 1.19.3,VoicesOfWynn-MC1.19.3-v1.2.jar
1_2,    Beta | 1.2 for MC 1.12.2,VoicesOfWynn-MC1.12.2-v1.2.jar
f-1_1,    Beta | 1.1 for MC 1.18.2,VoicesOfWynn-MC1.18.2-v1.1.jar
1_0_1,    Beta | 1.0.1 for MC1.12.2,VoicesOfWynn-MC1.12.2-v1.0.1.jar
